product_id,sku,name,current_brand,proposed_brand,match_type,legacy_reference,official_reference,confidence,evidence,reason
"648e860e-caff-419a-b068-30ec388e9e7b","HANDY_2000_MICRO","EQUIPO COMPLETO HANDY 2000 MICRO","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"7ac772d6-4c31-467d-a332-b8bc8f580d30","LOB.AN-500A","LOBSTER AN-500A REMACHADORA DE TUERCAS NEUMATICA ORIGEN JAPON","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"ab35d2ca-4f35-43ac-abbb-a1164caf0597","MA.PZ1","MAGNA POZIDRIVE PZ1 25xx1/4"" HEX.","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"b38b9802-3557-4aec-ae18-9dceb6ed0f29","PHO.1212475","PHOENIX 1212475 - HERRAMIENTA SUJETACABLE  CORTA PRECINTOS UNIFOX-CT 4,8","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"2fe28ad3-e58a-47b8-8f61-1bb971374422","PRO00001","GARRAFA TUBO GAS CILINDRO DE PROPANO DE 45KG","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"65ca5e06-a097-414d-a119-2898fa89eb40","PRO00002","MTEST MORDAZAS 30 kN","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"836a8f5a-37da-4bfc-ad4b-d61ff61e2646","PRO00003","MTEST JUEGO DE CUÑAS AMC-1030 ESPESOR 9 - 18","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"5e6e3931-8fe8-457c-910e-48af0866e349","PRO00004","MTEST JUEGO DE CUÑAS AMC-1030 ESPESOR 0 - 9","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"ada441ce-7614-42fa-9093-24331216e97c","PRO00007","AcraDyne AAP1B885100A Pistol Air Nutrunner, 5100Nm 1-1/2"" Sq Dr, 8000, Rev D","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"0df95184-7a03-4dfd-88fb-e2b266727705","PRO00009","AcraDyne 25350 Cable, Gen III, Tool Cable 5M Rev E","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"cac08374-2da6-4a6f-94b6-25ab10f592c2","PRO00010","AcraDyne AEN33060C Angle Nutrunner 60Nm 1/2""","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"6210d343-2949-4f3f-b7ef-39f34030761c","PRO00011","AcraDyne AEN33090C Angle Nutrunner, 90Nm, 1/2"" Dr 3000 C series, Rev B","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"bfee4ba3-8bed-4039-a11e-c660c6f60b9c","PRO00014","AcraDyne 3arm Serie 4 Torque Reaction Arm Brazo de reaccion AGCJQC M621133743","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"254e6ace-14c8-4a30-8561-4c55ab04becd","PRO00017","AcraDyne Equipo completo de 6 a 30 Nm, angular AEN32030C","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"bd437366-c270-4553-828e-829ff33a7c29","PRO00018","AcraDyne modelo AEL4A12018B Atornillador Recto de 4,5 a 18NM","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"5b0c39b4-8bd9-442e-b6bb-93c71049013c","PRO00019","AcraDyne AAP1B772000A Pistol Air Nutrunner, 2000Nm 1"" Sq Dr, 7000 series, Rev B","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"106d19bc-19e1-43c7-8b9e-42a59b34f1af","PRO00020","Acradyne Cable Gen3 3 Mtrs Rev K","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
